COUNTRY,GDP (BILLIONS),CODE,SAD
Afghanistan,21.71,AFG,0
Albania,13.4,ALB,0
Algeria,227.8,DZA,0
American Samoa,0.75,ASM,0
Andorra,4.8,AND,0
Angola,131.4,AGO,0
Anguilla,0.18,AIA,0
Antigua and Barbuda,1.24,ATG,0
Argentina,536.2,ARG,0
Armenia,10.88,ARM,0
Aruba,2.52,ABW,0
Australia,1483,AUS,0
Austria,436.1,AUT,0
Azerbaijan,77.91,AZE,0
"Bahamas, The",8.65,BHM,0
Bahrain,34.05,BHR,0
Bangladesh,186.6,BGD,0
Barbados,4.28,BRB,0
Belarus,75.25,BLR,0
Belgium,527.8,BEL,0
Belize,1.67,BLZ,0
Benin,9.24,BEN,0
Bermuda,5.2,BMU,0
Bhutan,2.09,BTN,0
Bolivia,34.08,BOL,0
Bosnia and Herzegovina,19.55,BIH,0
Botswana,16.3,BWA,0
Brazil,2244,BRA,85
British Virgin Islands,1.1,VGB,0
Brunei,17.43,BRN,0
Bulgaria,55.08,BGR,0
Burkina Faso,13.38,BFA,0
Burma,65.29,MMR,0
Burundi,3.04,BDI,0
Cabo Verde,1.98,CPV,0
Cambodia,16.9,KHM,0
Cameroon,32.16,CMR,0
Canada,1794,CAN,0
Cayman Islands,2.25,CYM,0
Central African Republic,1.73,CAF,0
Chad,15.84,TCD,0
Chile,264.1,CHL,0
China,10360,CHN,1
Colombia,400.1,COL,0
Comoros,0.72,COM,0
"Congo, Democratic Republic of the",32.67,COD,0
"Congo, Republic of the",14.11,COG,0
Cook Islands,0.18,COK,0
Costa Rica,50.46,CRI,0
Cote d'Ivoire,33.96,CIV,0
Croatia,57.18,HRV,0
Cuba,77.15,CUB,0
Curacao,5.6,CUW,0
Cyprus,21.34,CYP,0
Czech Republic,205.6,CZE,0
Denmark,347.2,DNK,0
Djibouti,1.58,DJI,0
Dominica,0.51,DMA,0
Dominican Republic,64.05,DOM,0
Ecuador,100.5,ECU,0
Egypt,284.9,EGY,0
El Salvador,25.14,SLV,0
Equatorial Guinea,15.4,GNQ,0
Eritrea,3.87,ERI,0
Estonia,26.36,EST,0
Ethiopia,49.86,ETH,0
Falkland Islands (Islas Malvinas),0.16,FLK,0
Faroe Islands,2.32,FRO,0
Fiji,4.17,FJI,0
Finland,276.3,FIN,0
France,2902,FRA,0
French Polynesia,7.15,PYF,0
Gabon,20.68,GAB,0
"Gambia, The",0.92,GMB,0
Georgia,16.13,GEO,0
Germany,3820,DEU,0
Ghana,35.48,GHA,0
Gibraltar,1.85,GIB,0
Greece,246.4,GRC,0
Greenland,2.16,GRL,0
Grenada,0.84,GRD,0
Guam,4.6,GUM,0
Guatemala,58.3,GTM,0
Guernsey,2.74,GGY,0
Guinea-Bissau,1.04,GNB,0
Guinea,6.77,GIN,0
Guyana,3.14,GUY,0
Haiti,8.92,HTI,0
Honduras,19.37,HND,0
Hong Kong,292.7,HKG,0
Hungary,129.7,HUN,0
Iceland,16.2,ISL,0
India,2048,IND,0
Indonesia,856.1,IDN,0
Iran,402.7,IRN,0
Iraq,232.2,IRQ,0
Ireland,245.8,IRL,0
Isle of Man,4.08,IMN,0
Israel,305,ISR,0
Italy,2129,ITA,0
Jamaica,13.92,JAM,0
Japan,4770,JPN,0
Jersey,5.77,JEY,0
Jordan,36.55,JOR,0
Kazakhstan,225.6,KAZ,0
Kenya,62.72,KEN,1
Kiribati,0.16,KIR,0
"Korea, North",28,KOR,0
"Korea, South",1410,PRK,0
Kosovo,5.99,KSV,0
Kuwait,179.3,KWT,0
Kyrgyzstan,7.65,KGZ,0
Laos,11.71,LAO,0
Latvia,32.82,LVA,0
Lebanon,47.5,LBN,0
Lesotho,2.46,LSO,0
Liberia,2.07,LBR,0
Libya,49.34,LBY,0
Liechtenstein,5.11,LIE,0
Lithuania,48.72,LTU,0
Luxembourg,63.93,LUX,0
Macau,51.68,MAC,0
Macedonia,10.92,MKD,0
Madagascar,11.19,MDG,0
Malawi,4.41,MWI,0
Malaysia,336.9,MYS,0
Maldives,2.41,MDV,0
Mali,12.04,MLI,0
Malta,10.57,MLT,0
Marshall Islands,0.18,MHL,0
Mauritania,4.29,MRT,0
Mauritius,12.72,MUS,0
Mexico,1296,MEX,3
"Micronesia, Federated States of",0.34,FSM,0
Moldova,7.74,MDA,0
Monaco,6.06,MCO,0
Mongolia,11.73,MNG,0
Montenegro,4.66,MNE,0
Morocco,112.6,MAR,0
Mozambique,16.59,MOZ,0
Namibia,13.11,NAM,0
Nepal,19.64,NPL,0
Netherlands,880.4,NLD,0
New Caledonia,11.1,NCL,0
New Zealand,201,NZL,2
Nicaragua,11.85,NIC,0
Nigeria,594.3,NGA,0
Niger,8.29,NER,0
Niue,0.01,NIU,0
Northern Mariana Islands,1.23,MNP,0
Norway,511.6,NOR,0
Oman,80.54,OMN,0
Pakistan,237.5,PAK,0
Palau,0.65,PLW,0
Panama,44.69,PAN,0
Papua New Guinea,16.1,PNG,0
Paraguay,31.3,PRY,0
Peru,208.2,PER,0
Philippines,284.6,PHL,0
Poland,552.2,POL,0
Portugal,228.2,PRT,0
